id	label	region	type	image	status	ipv4
44204833	Elev1	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.198.81
44204834	Elev2	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.209.128
44204835	Elev3	eu-west	g6-nanode-1	linode/ubuntu22.04	running	212.71.239.234
44204836	Elev4	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.199.132
44204837	Elev5	eu-west	g6-nanode-1	linode/ubuntu22.04	running	143.42.110.6
44204839	Elev6	eu-west	g6-nanode-1	linode/ubuntu22.04	running	178.79.170.22
44204840	Elev7	eu-west	g6-nanode-1	linode/ubuntu22.04	running	176.58.97.132
44204842	Elev8	eu-west	g6-nanode-1	linode/ubuntu22.04	running	212.111.40.244
44204843	Elev9	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.213.73
44204845	Elev10	eu-west	g6-nanode-1	linode/ubuntu22.04	running	178.79.139.118
44204851	Elev15	eu-west	g6-nanode-1	linode/ubuntu22.04	running	109.74.197.25
44204852	Elev16	eu-west	g6-nanode-1	linode/ubuntu22.04	running	178.79.129.233
44204854	Elev17	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.193.9
44204881	Elev11	eu-west	g6-nanode-1	linode/ubuntu22.04	running	212.111.43.150
44204882	Elev12	eu-west	g6-nanode-1	linode/ubuntu22.04	running	176.58.122.205
44204883	Elev13	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.215.12
44204885	Elev14	eu-west	g6-nanode-1	linode/ubuntu22.04	running	139.162.247.238
